sample_id,alignment_count,aligned,partially_aligned,relevant_unresolved,internal_unresolved,aligned_paths,runtime_only_paths,instruction_only_paths
PB-588,867,252,3,182,430,0,8,1
PB-589,1367,374,0,550,443,0,2,1
PB-590,1027,253,0,335,439,0,2,1
PB-591,1342,373,11,514,444,0,1,1
PB-592,1407,399,0,552,456,0,1,3
PB-593,1470,434,0,581,455,0,1,1
PB-594,1427,411,0,561,455,0,1,1
PB-595,1171,319,7,407,438,0,2,1
PB-596,757,217,0,109,431,0,12,1
PB-597,1019,252,0,328,439,0,2,1
PB-598,867,252,3,182,430,0,8,1
PB-599,1366,371,0,539,456,0,1,1
PB-600,1225,334,9,440,442,0,1,1
PB-601,859,252,3,174,430,0,8,1
PB-602,1175,320,7,410,438,0,2,1
PB-603,1014,249,0,326,439,0,1,1
PB-604,1305,358,7,499,441,0,1,1
PB-605,763,217,0,102,444,0,9,3
PB-606,1390,396,0,539,455,0,1,1
PB-607,1316,364,0,497,455,0,1,1
PB-608,1058,311,7,292,448,0,1,1
PB-609,987,249,0,300,438,0,2,1
PB-610,867,252,0,185,430,0,8,1
PB-611,867,252,3,182,430,0,8,1
PB-612,1003,248,0,302,453,0,1,1
PB-613,1077,286,5,347,439,0,1,1
PB-614,1043,255,0,348,440,0,2,1
PB-615,1196,330,0,414,452,0,2,1
PB-616,735,213,0,93,429,0,5,1
PB-617,1177,319,7,412,439,0,1,1
PB-618,1548,472,0,621,455,0,1,3
PB-619,1499,437,0,606,456,0,1,1
PB-620,1550,472,0,623,455,0,1,1
PB-621,867,252,0,185,430,0,8,1
PB-622,1178,321,7,412,438,0,2,1
PB-623,1196,323,7,427,439,0,2,1
PB-624,1062,300,7,319,436,0,26,1
PB-625,993,246,0,295,452,0,1,1
PB-626,927,238,1,252,436,0,1,1
PB-627,859,252,0,177,430,0,8,1
PB-628,1120,310,7,366,437,0,1,1
PB-629,1348,370,0,537,441,0,1,1
PB-630,1341,371,15,515,440,0,1,1
